place_overall,team_name,Final Score,TB,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,Finisher 6,Finisher 7,Finisher 8,Finisher 9,Finisher 10,Finisher 11,Finisher 12,Finisher 13,Finisher 14,Finisher 15,Finisher 16,Finisher 17,Finisher 18,Finisher 19,Finisher 20,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
1,St. Agnes Parish,9,27:16.4,1,3,5,7,19,24,25,35,36,48,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
2,St. James Parish,21,28:25.5,2,8,11,17,38,43,53,54,60,66,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
3,St. Thomas More Cathedral Parish,28,28:39.3,4,9,15,28,55,59,65,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
4,St. Joseph Parish,57,31:04.8,10,20,27,50,62,64,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
5,St. Anthony of Padua Parish,70,31:49.3,12,26,32,33,58,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
6,Holy Spirit Parish,71,31:54.7,13,18,40,44,63,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
7,Queen of Apostles Parish,72,31:58.3,6,14,52,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
8,St. Francis of Assisi Parish,76,32:22.1,16,29,31,41,56,61,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
9,Our Lady of Hope Parish,96,33:51.7,23,34,39,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
10,St. Michael Parish,101,34:11.6,22,37,42,45,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
11,Blessed Sacrament Parish,125,35:58.9,21,47,57,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
12,Basilica of Saint Mary Parish,125,36:02.9,30,46,49,51,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,Holy Family Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. Ambrose Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. John the Evangelist Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. Mark Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. Veronica Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. Ann Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. Bernadette Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
INC,St. Rita ParishAlexandria,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
