place_overall,team_name,Final Score,TB,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,Finisher 6,Finisher 7,Finisher 8,Finisher 9,Finisher 10,Finisher 11,Finisher 12,Finisher 13,Finisher 14,Finisher 15,Finisher 16,Finisher 17,Finisher 18,Finisher 19,Finisher 20,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
1,St. Agnes Parish,18,29:46.2,2,7,9,10,15,17,19,21,27,47,52,73,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
2,St. James Parish,19,29:48.6,3,4,12,14,22,30,36,70,79,85,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
3,St. Rita ParishAlexandria,31,30:32.9,5,8,18,87,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
4,St. John the Evangelist Parish,34,30:52.0,1,13,20,24,28,38,39,45,63,65,67,69,76,82,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
5,St. Michael Parish,92,34:04.3,16,23,53,61,80,81,88,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
6,St. Joseph Parish,92,34:06.4,11,26,55,59,90,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
7,Basilica of Saint Mary Parish,95,34:16.2,29,32,34,35,37,49,54,57,83,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
8,Queen of Apostles Parish,106,35:13.7,6,40,60,75,89,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
9,St. Francis of Assisi Parish,126,36:00.7,25,50,51,72,77,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
10,St. Ann Parish,126,36:00.9,41,42,43,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
11,Blessed Sacrament Parish,148,37:05.3,44,46,58,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
12,St. Mark Parish,155,38:03.3,31,56,68,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
13,St. Thomas More Cathedral Parish,170,39:25.8,33,66,71,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
14,St. Veronica Parish,194,41:10.6,48,62,84,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
15,Holy Spirit Parish,216,43:21.9,64,74,78,86,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
INC,Holy Family Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
INC,St. Ambrose Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
INC,St. Bernadette Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
