place_overall,team_name,Final Score,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,Finisher 6,Finisher 7,Finisher 8,Finisher 9,Finisher 10,Finisher 11,Finisher 12,Finisher 13,Finisher 14,Finisher 15,Finisher 16,Finisher 17,Finisher 18,Finisher 19,Finisher 20,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
1,St. James Parish,15,1,6,8,13,15,19,51,53,54,57,60,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
2,Basilica of Saint Mary Parish,23,2,3,18,24,27,33,35,56,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
3,St. Agnes Parish,29,5,7,17,22,29,30,37,40,46,52,59,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
4,St. John the Evangelist Parish,37,10,11,16,43,50,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
5,St. Rita ParishAlexandria,43,4,14,25,36,39,42,48,62,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
6,St. Thomas More Cathedral Parish,61,12,21,28,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
7,St. Michael Parish,67,9,20,38,47,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
8,St. Bernadette Parish,92,26,32,34,63,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
9,Blessed Sacrament Parish,112,23,44,45,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
10,St. Ambrose Parish,147,31,55,61,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
11,Our Lady of Hope Parish,148,41,49,58,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,Queen of Apostles Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,St. Anthony of Padua Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,St. Veronica Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,Holy Spirit Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,St. Francis of Assisi Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,St. Joseph Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
INC,St. Mark Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Boys
