place_overall,team_name,Final Score,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,Finisher 6,Finisher 7,Finisher 8,Finisher 9,Finisher 10,Finisher 11,Finisher 12,Finisher 13,Finisher 14,Finisher 15,Finisher 16,Finisher 17,Finisher 18,Finisher 19,Finisher 20,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
1,St. James Parish,8,1,2,5,8,9,10,21,25,29,35,37,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
2,Basilica of Saint Mary Parish,28,6,7,15,24,36,46,47,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
3,St. Agnes Parish,37,3,12,22,45,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
4,St. Michael Parish,57,14,17,26,43,44,51,54,55,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
5,St. John the Evangelist Parish,62,4,27,31,32,33,39,40,41,42,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
6,St. Mark Parish,63,13,20,30,52,58,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
7,St. Veronica Parish,64,11,19,34,48,49,50,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
8,Blessed Sacrament Parish,72,16,18,38,56,57,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
9,Queen of Apostles Parish,104,23,28,53,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,Holy Spirit Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Francis of Assisi Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Rita ParishAlexandria,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St Luke Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,Holy Family Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Ambrose Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Ann Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Anthony of Padua Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Bernadette Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
INC,St. Joseph Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
