place_overall,team_name,Final Score,TB,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,Finisher 6,Finisher 7,Finisher 8,Finisher 9,Finisher 10,Finisher 11,Finisher 12,Finisher 13,Finisher 14,Finisher 15,Finisher 16,Finisher 17,Finisher 18,Finisher 19,Finisher 20,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
1,St. Anthony of Padua Parish,16,37:52.1,2,5,9,21,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
2,Basilica of Saint Mary Parish,29,39:30.7,3,12,14,15,18,19,25,27,34,37,43,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
3,St. John the Evangelist Parish,43,40:58.8,4,16,23,49,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
4,St. Rita ParishAlexandria,46,41:22.4,1,6,39,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
5,St. Thomas More Cathedral Parish,53,42:22.6,7,13,33,35,38,54,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
6,St. Francis of Assisi Parish,70,44:24.3,10,28,32,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
7,St. Joseph Parish,71,43:41.6,20,22,29,46,48,52,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
8,St. Ann Parish,85,45:32.9,17,26,42,47,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
9,St. James Parish,92,46:35.3,11,40,41,50,53,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
10,St. Agnes Parish,99,47:03.5,24,31,44,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
11,St. Michael Parish,99,50:36.7,8,36,55,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
12,Queen of Apostles Parish,126,50:26.8,30,45,51,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
INC,Holy Spirit Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
INC,Our Lady of Hope Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
INC,St. Bernadette Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
INC,St. Mark Parish,0,999:99:99.,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
INC,Blessed Sacrament Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
INC,Holy Family Parish,0,999:99:99.,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
