place_overall,team_name,Final Score,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,Finisher 6,Finisher 7,Finisher 8,Finisher 9,Finisher 10,Finisher 11,Finisher 12,Finisher 13,Finisher 14,Finisher 15,Finisher 16,Finisher 17,Finisher 18,Finisher 19,Finisher 20,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
1,St. James Parish,20,4,7,9,24,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
2,St. John the Evangelist Parish,22,2,6,14,19,20,23,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
3,Basilica of Saint Mary Parish,29,5,11,13,21,27,28,29,32,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
4,Blessed Sacrament Parish,31,3,12,16,26,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
5,St. Agnes Parish,33,8,10,15,17,25,38,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
6,St. Anthony of Padua Parish,55,1,18,36,39,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
7,Queen of Apostles Parish,83,22,30,31,37,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
8,St. Michael Parish,102,33,34,35,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
INC,Holy Family Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
INC,Holy Spirit Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
INC,St. Ann Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
INC,St. Joseph Parish,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
INC,St. Rita ParishAlexandria,0,<3,<3,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
INC,St. Ambrose Parish,0,<3,,,,,,,,,,,,,,,,,,,,2023,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
