team_name,place_overall,Score,Total Clock Time,Avg Pace,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
St Agnes,1,6,25:08.0,6:45,1,2,3,6,11,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Rita,2,22,27:37.1,7:24,4,5,13,20,25,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Theresa,3,41,28:44.7,7:43,7,8,26,28,37,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St James,4,46,29:05.3,7:48,9,15,22,23,24,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
Basilica of St Mary,5,74,30:59.7,8:19,10,21,43,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Thomas More,6,79,30:35.9,8:12,18,27,34,36,40,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
Holy Spirit,7,86,31:57.3,8:34,14,19,53,61,64,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Anthony,8,90,31:46.5,8:31,17,29,44,60,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St John the Evangelist,9,94,31:08.3,8:21,30,31,33,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Francis,10,109,33:40.3,9:02,12,48,49,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Joseph,11,115,34:04.9,9:09,16,47,52,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Michael,12,118,33:26.5,8:58,32,35,51,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
OLOH,13,125,34:27.4,9:15,39,41,45,62,65,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
All Saints,14,136,35:06.9,9:25,38,42,56,59,66,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
Blessed Sacrament,15,150,36:24.3,9:46,46,50,54,55,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
Q of A,16,178,41:35.7,11:09,57,58,63,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Ambrose,INC,,,,<3,<3,58,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Louis,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Veronica,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Bernadette,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
St Mark,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Boys
