team_name,place_overall,Score,Total Chip Time,Avg Pace,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
St Agnes,1,6,26:31.8,7:07,1,2,3,4,6,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St James,2,27,28:21.2,7:36,5,9,13,22,56,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Rita,3,36,29:15.0,7:51,8,10,18,40,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St John the Evangelist,4,66,31:53.7,8:33,19,23,24,36,42,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Thomas More,5,74,31:28.5,8:27,12,14,48,61,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Veronica,6,93,32:55.1,8:50,15,35,43,44,59,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Theresa,7,96,32:29.6,8:43,7,39,50,54,60,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
Holy Family,8,100,33:17.7,8:56,16,37,47,49,63,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Mark,9,104,33:25.4,8:58,17,41,46,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Michael,10,104,33:28.0,8:59,21,28,55,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
Basilica of St Mary,11,117,34:18.0,9:12,34,38,45,52,57,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
Blessed Sacrament,12,121,35:31.9,9:32,25,31,65,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Anthony,13,125,36:07.7,9:41,29,30,66,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Joseph,14,133,38:00.5,10:12,27,33,73,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
OLOH,15,137,35:22.4,9:29,20,53,64,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
All Saints,16,139,35:32.5,9:32,26,51,62,69,72,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
Q of A,17,152,38:52.5,10:26,11,70,71,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Louis,18,157,37:43.4,10:07,32,58,67,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Ambrose,19,217,50:07.0,13:27,68,74,75,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
Holy Spirit,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
St Francis,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Frosh,Girls
