team_name,place_overall,Score,Total Clock Time,Avg Pace,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
St James,1,9,43:13.4,7:44,2,3,4,6,11,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St John the Evangelist,2,30,45:44.2,8:11,5,12,13,14,18,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Rita,3,30,45:22.1,8:07,7,8,15,17,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
All Saints,4,57,49:04.6,8:47,10,23,24,41,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Ann,5,59,48:54.5,8:45,9,22,28,29,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Theresa,6,64,50:16.0,8:59,1,30,33,35,37,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Michael,7,74,51:07.7,9:09,21,26,27,46,53,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
Holy Spirit,8,80,52:03.4,9:19,19,25,36,44,45,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
Basilica of St Mary,9,86,53:02.6,9:29,20,32,34,38,42,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
Q of A,10,95,59:15.8,10:36,16,31,48,49,50,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Anthony,11,134,1:09:46.4,12:29,40,43,51,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
Holy Family,12,138,1:14:44.0,13:22,39,47,52,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
Blessed Sacrament,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
Nativity,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
OLOH,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Agnes,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Joseph,INC,,,,<3,<3,31,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Veronica,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Bernadette,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Louis,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Mark,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
St Thomas More,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,JV,Girls
