team_name,place_overall,Score,Total Clock Time,Avg Pace,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
St James,1,18,52:39.3,7:04,3,5,10,21,24,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
Basilica of St Mary,2,21,53:22.2,7:09,2,4,15,23,35,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Agnes,3,28,54:30.3,7:19,7,8,13,19,30,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Joseph,4,40,56:33.3,7:35,6,14,20,25,26,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St John the Evangelist,5,58,1:02:31.7,8:23,1,11,46,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Veronica,6,72,1:00:54.7,8:10,18,22,32,34,37,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Bernadette,7,79,1:05:35.2,8:48,9,27,43,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Theresa,8,81,1:03:11.7,8:29,12,28,41,42,47,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Thomas More,9,83,1:02:21.4,8:22,16,29,38,39,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Louis,10,86,1:03:08.2,8:28,17,33,36,45,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
Q of A,11,115,1:11:54.2,9:39,31,40,44,48,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
Nativity,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Michael,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Rita,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
Holy Spirit,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
OLOH,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
St Mark,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Boys
