team_name,place_overall,Score,Total Clock Time,Avg Pace,Finisher 1,Finisher 2,Finisher 3,Finisher 4,Finisher 5,season_year,meet_number,meet_series,meet_name,meet_order,division,gender
St James,1,11,56:07.4,7:32,1,2,8,11,15,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Rita,2,29,1:04:25.4,8:38,3,6,20,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Theresa,3,32,1:04:56.3,8:43,9,10,13,14,16,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
Blessed Sacrament,4,38,1:09:03.5,9:16,5,7,26,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Agnes,5,39,1:09:20.1,9:18,4,17,18,23,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
Q of A,6,64,1:21:09.4,10:53,12,22,30,31,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Michael,7,68,1:23:22.6,11:11,19,24,25,32,33,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Veronica,8,76,1:26:41.2,11:38,21,27,28,29,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
Basilica of St Mary,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St John the Evangelist,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Joseph,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Louis,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Mark,INC,,,,<3,<3,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
All Saints,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
Holy Spirit,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
Nativity,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Ann,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Anthony,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
St Thomas More,INC,,,,<3,,,,,2024,2,NVJCYO Cross Country Developmental,NVJCYO Cross Country Developmental Meet 2,2,Varsity,Girls
